neighborhood,img_name,pixel_count,pixel_proportion
BMA C,IMG_4697_Edited.PNG,14242,0.70703
BMA C,IMG_4699_Edited.PNG,1580,0.07844
BMA C,IMG_4701_Edited.PNG,25538,1.26782
BMA C,IMG_4702_Edited.PNG,8892,0.44144
BMA C,IMG_4703_Edited.PNG,1967,0.09765
BMA C,IMG_4705_Edited.PNG,2555,0.12684
BMA C,IMG_4706_Edited.PNG,5085,0.25244
BMA C,IMG_4707_Edited.PNG,89686,4.4524
BMA C,IMG_4708_Edited.PNG,35962,1.78531
BMA C,IMG_4709_Edited.PNG,48529,2.40919
Roxbury A,IMG_9868_Edited.PNG,176842,1.15132
Roxbury A,IMG_9869_Edited.PNG,329551,2.14551
Roxbury A,IMG_9870_Edited.PNG,351598,2.28905
Roxbury A,IMG_9871_Edited.PNG,379579,2.47122
Roxbury A,IMG_9872_Edited.PNG,298980,1.94648
Roxbury A,IMG_9873_Edited.PNG,1181883,7.69455
Roxbury A,IMG_9874_Edited.PNG,655291,4.26622
Roxbury A,IMG_9875_Edited.PNG,230141,1.49831
Roxbury A,IMG_9878_Edited.PNG,137010,0.89199
Roxbury A,IMG_9879_Edited.PNG,491885,3.20238
Roxbury A,IMG_9880_Edited.PNG,1139043,7.41564
Roxbury A,IMG_9881_Edited.PNG,220504,1.43557
Roxbury A,IMG_9883_Edited.PNG,310298,2.02017
Roxbury A,IMG_9884_Edited.PNG,478087,3.11255
Roxbury A,IMG_9885_Edited.PNG,235814,1.53525
Roxbury A,IMG_9886_Edited.PNG,125027,0.81398
Roxbury A,IMG_9887_Edited.PNG,485749,3.16243
Roxbury A,IMG_9888_Edited.PNG,100758,0.65598
Roxbury A,IMG_9889_Edited.PNG,118810,0.7735
Roxbury A,IMG_9890_Edited.PNG,237367,1.54536
Roxbury A,IMG_9891_Edited.PNG,224105,1.45902
Roxbury A,IMG_9892_Edited.PNG,505775,3.29281
Roxbury A,IMG_9893_Edited.PNG,1325985,8.63271
Roxbury A,IMG_9894_Edited.PNG,589487,3.83781
Roxbury A,IMG_9895_Edited.PNG,334621,2.17852
Roxbury A,IMG_9897_Edited.PNG,604508,3.9356
Roxbury A,IMG_9898_Edited.PNG,1555636,10.12784
Roxbury A,IMG_9899_Edited.PNG,399679,2.60208
Roxbury A,IMG_9900_Edited.PNG,192894,1.25582
Roxbury A,IMG_9901_Edited.PNG,262557,1.70936
Roxbury A,IMG_9903_Edited.PNG,728638,4.74374
Roxbury A,IMG_9904_Edited.PNG,311153,2.02574
Roxbury A,IMG_9906_Edited.PNG,141699,0.92252
Roxbury A,IMG_9907_Edited.PNG,253030,1.64733
Roxbury A,IMG_9908_Edited.PNG,597494,3.88993
Roxbury A,IMG_9909_Edited.PNG,497252,3.23732
Roxbury A,IMG_9910_Edited.PNG,264667,1.72309
Roxbury A,IMG_9911_Edited.PNG,293855,1.91312
Roxbury A,IMG_9912_Edited.PNG,591149,3.84863
Roxbury A,IMG_9913_Edited.PNG,408563,2.65992
Brookline A,IMG_4350_Edited.PNG,7680,0.38127
Brookline A,IMG_4360_Edited.PNG,2691,0.13359
Brookline A,IMG_4361_Edited.PNG,1737,0.08623
Brookline A,IMG_4362_Edited.PNG,0,0.0
Brookline A,IMG_4365_Edited.PNG,0,0.0
Brookline A,IMG_4366_Edited.PNG,2468,0.12252
Brookline A,IMG_4374_Edited.PNG,9642,0.47867
